AFO_HR;AFU_HR_1_1;AFU_HR_2_1;AFU_HR_3_1;AFU_HR_4_1;AFU_HR_5_1;AFU_HR_6_1;AFU_HR_7_1;AFU_HR_8_1;AFU_HR_8_2
;;;;;;;;;
;-8;34;-31;35;-15;32;20;2;2
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;11;13;13;6;7;-10;58;3;0
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-14;-18;-18;-12;27;-33;24;5;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-10;-10;-10;-10;30;-50;20;2;0
;;;;;;;;;
;-41;-31;-20;-42;1;-50;39;15;0
;-18;-12;-6;-24;50;-47;8;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;17;0;25;-15;-21;-8;68;5;0
;;;;;;;;;
2;;;;;;;;;
;-30;-25;-30;-50;10;-30;25;15;24
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-30;50;-30;-50;50;-50;80;5;0
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-50;-20;-20;-20;0;-50;50;180;0
;-7;-4;-3;-9;0;-1;52;5;0
2;;;;;;;;;
;-5;-6;-8;-10;3;-19;51;1;0
2;;;;;;;;;
2;;;;;;;;;
;-30;-5;-20;-20;50;-40;30;3;30
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-9;23;28;19;24;17;62;4;2
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-50;50;-50;-50;50;50;0;0;0
;-29;1;-24;-41;26;-38;87;15;0
;;;;;;;;;
;;;;;;;;;
;-50;-25;-25;-25;0;-50;0;5;0
;-30;-39;-31;-38;48;-39;81;3;30
;-30;-40;-30;-40;0;-50;75;5;0
;-19;-14;-18;-21;41;-21;23;1;30
;-25;-25;-25;-25;40;-50;15;4;0
;-26;-10;-8;-8;0;-50;15;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-14;-16;1;0;0;-21;66;0;0
;;;;;;;;;
;-17;-29;-19;-13;50;-48;8;2;39
;-25;-23;-15;-11;37;-39;35;7;0
;;;;;;;;;
;-20;-15;-20;-25;0;0;30;1;0
;;;;;;;;;
;;;;;;;;;
;13;30;14;-30;13;16;33;7;0
;-20;-15;-20;-25;40;-22;60;4;29
;;;;;;;;;
2;;;;;;;;;
;-9;1;-13;-6;5;-19;57;2;30
;-20;-15;-8;-32;50;-50;0;3;15
;-30;-20;-30;-40;40;-50;0;5;0
;-25;-5;-10;-30;5;-40;5;5;0
;;;;;;;;;
;-3;44;-5;-14;43;-31;92;3;30
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-50;-20;-30;-45;50;-50;30;1;0
2;;;;;;;;;
;;;;;;;;;
;-20;-2;-2;-2;2;-40;25;2;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-18;-50;-50;-40;-8;-9;29;180;0
;-15;-5;5;-30;5;-30;30;2;0
;;;;;;;;;
;-17;-16;-14;-31;22;-18;39;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-24;-13;-15;-15;0;-48;4;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-15;-10;-15;-20;11;-20;70;1;30
;;;;;;;;;
;-19;-1;-30;-27;10;-30;61;3;0
;-20;-8;-16;-30;10;-50;9;3;10
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;9;15;14;15;15;18;71;20;3
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-42;7;-47;-50;5;-50;61;2;0
;-32;-31;-24;-18;24;-17;39;10;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-50;-22;-50;0;28;-50;25;20;15
;;;;;;;;;
;-5;-5;-5;-5;3;-47;29;4;5
;;;;;;;;;
;;;;;;;;;
;-20;-20;-10;-10;30;-40;10;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-20;-10;-20;-10;30;-50;10;5;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-35;-41;-35;-34;50;-50;0;5;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-28;-25;-20;-10;40;-46;70;0;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;28;13;29;22;16;-18;39;7;4
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-17;-13;-11;-10;-17;-15;37;4;30
;;;;;;;;;
;-15;20;-20;-20;15;-20;60;1;0
;;;;;;;;;
;-5;-5;-10;-5;48;-50;0;1;0
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;1;-5;-8;4;45;-3;51;5;0
;37;27;28;23;16;38;82;8;0
;;;;;;;;;
;;;;;;;;;
;-17;-25;-16;-16;37;-22;72;15;10
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-16;-7;-9;-7;18;-36;17;1;30
;-5;-6;-4;-4;50;0;38;0;30
2;;;;;;;;;
;;;;;;;;;
;-16;-8;-18;-21;50;-43;81;20;30
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-40;-10;-25;-50;50;-50;60;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-10;-6;-7;-8;0;-7;17;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-8;-2;-3;-3;17;-14;56;10;0
;1;1;1;1;1;1;31;5;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-18;-19;-14;-40;42;-50;79;10;0
;;;;;;;;;
;27;23;15;19;18;22;70;10;0
2;;;;;;;;;
;-37;-29;-31;-29;32;-38;19;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-30;-3;-17;-26;0;-24;19;10;0
;;;;;;;;;
;-14;-12;-14;-15;2;-40;15;2;35
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;38;48;36;42;50;35;100;5;3
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;16;28;22;24;17;11;79;5;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;0;0;1;0;1;1;75;20;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-32;-11;-16;-15;14;-14;38;5;0
;;;;;;;;;
2;;;;;;;;;
;-43;-7;-11;-30;50;-36;42;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-50;-31;-40;-50;50;-50;71;5;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-43;-14;-19;-49;46;-41;2;2;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
