BFO_HA;BFU_HA_1_1;BFU_HA_2_1;BFU_HA_3_1;BFU_HA_4_1;BFU_HA_5_1;BFU_HA_6_1;BFU_HA_7_1;BFU_HA_8_1;BFU_HA_8_2
1;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;18;22;11;15;18;16;67;5;0
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;20;11;15;-11;20;18;40;1;20
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-33;-25;-38;-30;34;-38;60;2;30
1;;;;;;;;;
;;;;;;;;;
;0;-1;-1;0;30;28;42;0;30
;;;;;;;;;
;;;;;;;;;
;-23;-6;-10;-9;10;-45;78;1;0
;-8;-4;-7;-9;0;-30;62;2;0
;-40;-50;-36;-31;46;-24;27;2;0
;-11;-9;-9;-10;14;18;59;0;30
;;;;;;;;;
;1;3;1;2;1;0;76;0;30
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;-8;-18;-13;-6;22;-13;33;2;0
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;-21;-9;-20;-50;-9;-24;60;5;0
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-49;-49;23;-48;-49;34;81;1;0
2;;;;;;;;;
;10;9;12;10;9;11;56;5;2
;;;;;;;;;
;15;-16;-13;-41;16;-27;90;6;0
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-20;-20;-20;-20;50;-50;100;2;0
;-10;-10;-10;-9;50;-25;61;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-5;-5;5;5;9;-5;80;0;30
;-20;-20;-20;-20;10;-10;40;0;45
;1;1;1;0;20;-4;61;0;0
;-36;-19;-27;-41;23;-26;80;3;0
;-27;-28;-32;-34;-24;-12;67;4;46
;;;;;;;;;
;-22;-17;-23;-19;50;-38;16;1;0
;;;;;;;;;
;-7;-11;-7;17;15;1;62;2;1
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-10;-10;-10;-10;10;-30;24;0;30
;;;;;;;;;
;;;;;;;;;
;-19;-13;-25;10;1;-50;61;1;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-8;-9;-6;-10;10;-6;59;1;0
2;;;;;;;;;
2;;;;;;;;;
;-3;-14;6;-10;-14;7;59;1;10
;-22;-12;-10;-16;18;-41;63;0;30
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-10;-10;-10;-10;10;-20;45;0;45
;1;1;1;1;36;-21;66;0;0
;-5;-10;-20;30;40;-20;80;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-20;-15;-15;40;40;-10;35;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-6;-14;2;1;3;-21;60;0;30
;0;0;0;0;35;0;85;0;0
1;;;;;;;;;
;-5;-5;-5;-10;40;-4;75;0;20
;0;1;0;0;10;-5;60;0;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-6;-5;-3;-5;15;-15;51;0;30
;;;;;;;;;
;-3;12;-1;-7;-6;-2;62;6;10
;;;;;;;;;
;4;-6;-7;-14;21;-15;61;2;1
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-25;-14;-18;-29;26;-46;56;2;0
;-3;0;0;0;46;0;38;2;0
2;;;;;;;;;
2;;;;;;;;;
;-50;-47;-40;-50;-33;-50;0;15;0
;;;;;;;;;
;-15;-15;-15;-15;30;-15;60;1;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-15;-11;-14;-11;11;-23;16;1;0
;;;;;;;;;
;;;;;;;;;
;-2;0;1;0;47;-2;70;0;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-8;0;-6;-9;31;-22;33;0;15
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-18;-39;-12;-31;20;-16;49;1;0
;;;;;;;;;
;;;;;;;;;
;1;-4;0;1;22;-16;32;1;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;25;0;0;0;50;35;20;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-16;-16;-16;-16;20;-24;62;0;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;11;-26;-9;-5;9;-9;65;2;0
;0;0;0;0;0;0;50;15;0
;;;;;;;;;
;;;;;;;;;
;1;1;1;1;1;-5;51;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-11;-10;-9;-10;10;-10;21;1;0
;;;;;;;;;
;-16;21;11;20;11;-21;99;1;30
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;0;0;0;0;50;0;37;0;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-18;-6;-5;-6;34;-29;39;0;30
;50;44;50;43;50;43;94;5;3
2;;;;;;;;;
;-20;-15;-15;-15;39;-40;5;0;20
;27;37;29;45;31;45;93;10;5
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-20;-9;-20;-9;50;-32;67;0;30
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;-25;-22;-20;-16;-14;19;68;0;50
;;;;;;;;;
;;;;;;;;;
;-20;1;1;-37;-3;-12;51;5;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;-4;-4;-3;4;-33;22;2;0
;-24;14;23;12;-18;-18;35;1;0
;-16;-15;-19;-12;28;-16;44;1;0
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-2;-2;-2;0;7;-1;53;0;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-10;-16;-18;-15;13;2;36;0;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-20;-10;-20;-20;30;30;65;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-3;-5;-10;-25;50;-15;55;1;45
;-20;-8;-13;-30;40;-17;31;0;20
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-20;-20;-20;-20;20;-50;20;1;30
2;;;;;;;;;
;-11;-5;-21;-41;28;-50;73;2;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;9;-13;16;24;-18;-28;69;5;5
