DFO_CA;DFU_CA_1_1;DFU_CA_2_1;DFU_CA_3_1;DFU_CA_4_1;DFU_CA_5_1;DFU_CA_6_1;DFU_CA_7_1;DFU_CA_8_1;DFU_CA_8_2
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;33;-21;48;23;-29;-15;74;4;12
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;1;18;14;-25;15;30;86;2;0
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-50;-50;-50;-50;50;-50;73;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-27;-19;-12;-24;19;-32;44;5;0
;;;;;;;;;
;-20;-20;-30;-30;0;-30;60;2;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-16;-13;-13;-12;13;-5;49;1;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-28;-20;-26;-40;10;-39;22;6;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-41;-8;-40;-28;50;-16;11;20;0
;;;;;;;;;
;-10;-12;-9;-11;15;23;58;5;0
;1;0;-50;-50;-50;-50;75;5;0
;-12;-13;-14;-14;10;-7;67;5;0
;-3;-2;-3;-2;4;-2;53;1;0
;-25;-35;-21;-20;50;1;22;5;0
2;;;;;;;;;
