DFO_SU;DFU_SU_1_1;DFU_SU_2_1;DFU_SU_3_1;DFU_SU_4_1;DFU_SU_5_1;DFU_SU_6_1;DFU_SU_7_1;DFU_SU_8_1;DFU_SU_8_2
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;31;-10;23;-11;24;50;82;6;2
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-22;15;-22;-31;-31;-22;78;1;0
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-21;-9;-10;-21;31;13;0;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-19;-19;-19;-19;1;-2;30;3;0
;;;;;;;;;
;-20;-19;-19;-20;21;-20;50;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;19;-23;-28;-27;30;21;20;2;0
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-14;-6;-11;-10;50;-3;3;2;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-12;-8;-8;-15;50;48;0;6;0
;;;;;;;;;
;-16;-26;-27;-25;25;-26;38;5;0
;1;1;-19;-50;50;50;26;2;0
;-11;-23;-14;-11;13;-20;44;3;0
;-6;-4;-9;-4;7;0;0;1;0
;-27;-17;-12;-10;50;-20;18;2;0
1;;;;;;;;;
