DFO_WA;DFU_WA_1_1;DFU_WA_2_1;DFU_WA_3_1;DFU_WA_4_1;DFU_WA_5_1;DFU_WA_6_1;DFU_WA_7_1;DFU_WA_8_1;DFU_WA_8_2
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;-50;33;50;17;45;-43;58;20;16
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;22;16;11;-17;11;-16;40;0;2
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-50;-50;-50;-50;20;-50;60;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-6;-1;-4;-3;-5;-2;83;0;10
;;;;;;;;;
;-11;-9;-10;-10;10;-9;70;0;20
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-14;-10;-13;-11;11;-8;68;1;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-14;-11;-15;-9;15;-20;72;2;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-23;-6;-7;-14;33;-33;71;3;0
;;;;;;;;;
;-5;-5;-6;-6;9;-14;97;0;30
;-50;-50;-50;-50;-50;-50;100;0;30
;-3;-3;-2;-4;4;-4;55;0;30
;0;0;0;0;6;0;69;0;10
;-6;-12;-3;-1;50;-31;100;1;0
1;;;;;;;;;
